company_name,comment,company_category,addr_street,addr_extra,addr_street_number,addr_zip_code,addr_city,contact_email,contact_phone,contact_person,status,contact_website,opening_hours
Museum des Kapitalismus,,Arts/Culture,Köpenicker Str. ,,172,10997,Berlin,,,,,,
nachhaltige galerie Cécile,,Arts/Culture,,,,,Berlin,,,,,,
Solar Sound System,Online,Arts/Culture,/,/,/,/,Berlin,ola@rubensben.com,,,,https://berlin.solarsoundsystem.org/,
GG3 - Gallery for sustainable art,,Arts/Culture,Leuschnerdamm ,,19,10999,Berlin,,,,,,
Schwules Museum,,Arts/Culture,Lützowstraße ,,73,10785,Berlin,,,,,,
,,,,,,,Berlin,,,,,,
Triodos,,Bank/insurance,Paul-Lincke Ufer ,,41,10999,Berlin,,,,,,
ak4beauty,,Beauty,Schivelbeinerstr.,,4,10439,Berlin,,493021758455,,,http://www.ak4beauty.de/,
Projekt Glitter,,Beauty,,,,,Berlin,,,,,,
Müssiggang,2nd hand,Books,Oranienstr.  ,,14A,10999,Berlin,,,,,,
Oxfam Bookshop Schöneberg,,Books,Hauptstraße ,,29,10827,Berlin,,,,,,
Adon,,Clothing,Mommsenstraße ,,43,10629,Berlin,,,,,,
Allet Schick,,Clothing,Bergmannstraße ,,90,10961,Berlin,,030 23930892,,,,
Amitola,Kinder,Clothing,Krossener Str. ,,35,10245,Berlin,,,,,,
Anna och Larson,,Clothing,Graefestraße ,,1,10967,Berlin,,,,,,
Anziehend - Second hand Mode für Frauen,,Clothing,Niederbarnimstraße,,16,10247,Berlin,,,,,,
Avesu - Vegan Shoes,,Clothing,Warschauer Str. ,,33,10243,Berlin,,,,,,
Bonbon's first and second hand ,,Clothing,Albrechtstraße ,,110,12167,Berlin,,,,,,
CALYPT,,Clothing,Boddinstraße ,,12,12053,Berlin,,,,,,
Checkpoint & cinema,,Clothing,Mehringdamm ,,41,10961,Berlin,,,,,,
Collect Boutique,,Clothing,Oranienstraße ,,44,10969,Berlin,,,,,,
Das Neue Schwarz,,Clothing,Mulackstraße ,,38,10119,Berlin,,,,,,
DEAR,,Clothing,Stargarder Str. ,,9,10437,Berlin,,,,,,
Dorn-Röschen second hand,,Clothing,Schönhauser Allee ,,64,10437,Berlin,,,,,,
Dr. Pogo Veganladen-Kollektiv,,Clothing,Karl-Marx-Platz ,,24,12043,Berlin,,,,,,
Dreikäsehoch,Kinder,Clothing,Hauptstraße ,,73,12159,Berlin,,,,,,
Dress Code Vintage Store,,Clothing,Nostitzstraße ,,25,10961,Berlin,,,,,,
Et-cetera second hand,,Clothing,Berlinickestraße ,,16A,12165,Berlin,,,,,,
Feingemacht Damen-secondhand,,Clothing,Hortensienstraße ,,12B,12203,Berlin,,,,,,
Femme Designer second hand,,Clothing,Leonhardtstraße ,,22,14057,Berlin,,,,,,
Fezzl Second hand,,Clothing,Oberbaumstraße ,,7,10997,Berlin,,,,,,
Fräulein Anders,,Clothing,Nollendorfstraße ,,28,10777,Berlin,,,,,,
Fürstenberg Iris second hand,,Clothing,Rudower Str. ,,60,12524,Berlin,,030 6737246,,,,
Garage,,Clothing,Ahornstraße ,,2,10787,Berlin,278042f975e7,,,,,
Gewandhaus - second hand Mode,,Clothing,Belziger Str. ,,36,10823,Berlin,,,,,,
Gina first & second hand,,Clothing,Dahlmannstraße ,,6,10629,Berlin,,,,,,
Hilly's,,Clothing,Kollwitzstraße ,,39,10405,Berlin,,,,,,
https://hahayoureugly.de/,Online ,Clothing,/,/,/,/,Berlin,,,,,,
Humana,,Clothing,Frankfurter Tor ,,3,10243,Berlin,,,,,,
Humana,,Clothing,Karl-Marx-Straße ,,13,12043,Berlin,,,,,,
Humana,,Clothing,Karl-Marx-Straße ,,125,12043,Berlin,,,,,,
Humana,,Clothing,Alexanderstraße ,,7,10178,Berlin,,,,,,
Humana,,Clothing,Lewishamstraße ,,1,10629,Berlin,,,,,,
Humana,,Clothing,Rheinstraße ,,29,12161,Berlin,,,,,,
Humana,,Clothing,Oranienburger Str. ,,87,10178,Berlin,,,,,,
Humana,,Clothing,Karl-Marx-Straße ,,107,12043,Berlin,,,,,,
Humana,,Clothing,Mehringdamm ,,35,10961,Berlin,,,,,,
Humana,,Clothing,Warschauer Str. ,,55,10243,Berlin,,,,,,
Humana,,Clothing,Hauptstraße ,,137,10827,Berlin,,,,,,
Humana,,Clothing,Schönhauser Allee ,,10-11,10119,Berlin,,,,,,
Humana,,Clothing,Tempelhofer Damm ,,148,12099,Berlin,,,,,,
Humana,,Clothing,Behmstraße ,,3-7,13357,Berlin,,,,,,
Humana,,Clothing,Turmstraße ,,76,10551,Berlin,,,,,,
Humana,,Clothing,Schönhauser Allee ,,72,10437,Berlin,,,,,,
Humana,,Clothing,Wilmersdorfer Str. ,,138,10585,Berlin,,,,,,
Humana,,Clothing,Frankfurter Allee ,,86B,10247,Berlin,,,,,,
Humana,,Clothing,Berliner Allee ,,68,13088,Berlin,,,,,,
I love vintage,,Clothing,Kastanienallee ,,6,10435,Berlin,,,,,,
intage revivals,,Clothing,"Schönhauser Allee 127, 10437",,,,Berlin,,,,,,
"Kalle, Clara & co",,Clothing,Kienitzer Str. ,,109,12049,Berlin,,,,,,
Kims Second hand Boutique,,Clothing,Lausitzer Pl. ,,14,10997,Berlin,,,,,,
Kleiderwald second hand,,Clothing,Stargarder Str.,,65/66,10437,Berlin,,,,,,
Koku Second hand store,,Clothing,Schillerpromenade ,,1,12049,Berlin,,,,,,
Komm & Sieh,,Clothing,Neue Christstraße ,,5,14059,Berlin,,,,,,
Legends Vintage Berlin,,Clothing,Falckensteinstraße ,,32,10997,Berlin,,0163 1556095,,,,
Let them eat cake,,Clothing,Weserstr. ,,164,12045,Berlin,,,,,,
Lilli & Paul,,Clothing,Wegenerstraße ,,18,10713,Berlin,,,,,,
Lindt Second hand,,Clothing,Körtestraße ,,16,10967,Berlin,,,,,,
Louis' Crew - Kinder second hand,,Clothing,Karl-Kunger-Straße ,,54,12435,Berlin,,,,,,
Macy's,,Clothing,Mommsenstraße ,,2,10629,Berlin,,,,,,
Made in Berlin,,Clothing,Neue Schönhauser Str. ,,19,10178,Berlin,,,,,,
Madonna - second hand,,Clothing,Mommsenstraße ,,57,10629,Berlin,,,,,,
Männekieken,,Clothing,Georg-Wilhelm-Straße ,,7,10711,Berlin,,,,,,
Modena,,Clothing,Viktoria-Luise-Platz ,,7,10777,Berlin,,,,,,
No. 5,,Clothing,Nehringstraße ,,5,14059,Berlin,,,,,,
No. 8-Berlin,,Clothing,Ludwigkirchstraße ,,8,10719,Berlin,,,,,,
Oxfam Charlottenburg,,Clothing,Wilmersdorfer Str. ,,74,10629,Berlin,,,,,,
Oxfam Kreuzberg,,Clothing,Bergmannstraße ,,15,10961,Berlin,,,,,,
Oxfam PZB,,Clothing,Schönhauser Allee ,,118A,10437,Berlin,,,,,,
Oxfam Schöneberg,,Clothing,Rheinstraße ,,22,12161,Berlin,,,,,,
Oxfam Wilmersdorf,,Clothing,Kurfürstendamm ,,146,10709,Berlin,,,,,,
Partenheimer second hand,,Clothing,Wilmersdorfer Str. ,,68,10629,Berlin,,,,,,
Pfeil & Piefke,,Clothing,Böckhstraße ,,46,10967,Berlin,,,,,,
Pick'n'Weight,,Clothing,Alte Schönhauser Str. ,,30,10119,Berlin,,,,,,
Pick'n'Weight,,Clothing,Bergmannstraße ,,102,10961,Berlin,,,,,,
Pink Cadillac,2nd hand,Clothing,Wrangelstraße ,,55,10997,Berlin,,,,,,
Preloved Bazaar,,Clothing,Pettenkoferstraße ,,16-18,10247,Berlin,,,,,,
Räuberhöhle,Kinder,Clothing,Wilmersdorfer Str. ,,10,10585,Berlin,,,,,,
Razzo - 2nd hand,,Clothing,Sybelstraße ,,25,10629,Berlin,,,,,,
Repeater second hand shop,,Clothing,Pannierstraße ,,45,12047,Berlin,,030 36444566,,,,
ReSales,,Clothing,Prenzlauer Allee ,,170,10409,Berlin,,,,,,
ReSales,,Clothing,Schönwalder Straße 39/40,,39/40,13585,Berlin,,,,,,
ReSales,,Clothing,Residenzstraße ,,32,13409,Berlin,,,,,,
ReSales,,Clothing,Brunnenstraße ,,131-134,13355,Berlin,,,,,,
ReSales,,Clothing,Turmstraße ,,72/73,10551,Berlin,,,,,,
ReSales,,Clothing,Potsdamer Straße ,,105,10785,Berlin,,,,,,
ReSales,,Clothing,Berliner Allee ,,105,13088,Berlin,,,,,,
ReSales,,Clothing,Tempelhofer Damm ,,195,12099,Berlin,,,,,,
ReSales,,Clothing,Pestalozzistraße ,,82,10627,Berlin,,,,,,
ReSales,,Clothing,Frankfurter Allee ,,44,10247,Berlin,,,,,,
ReSales,,Clothing,Allee der Kosmonauten ,,151,12685,Berlin,,,,,,
Sachensucher Kindersecondhand,,Clothing,Waidmannsluster Damm ,,193,13469,Berlin,,,,,,
Scorpio Mode & Accessoires,,Clothing,Sybelstraße ,,47,10629,Berlin,,,,,,
Second Hand,,Clothing,Pannierstrasse,,13,12047,Berlin,,,,,,
Second hand,,Clothing,Am Oberhafen ,,16-20,13597,Berlin,,,,,,
Second hand Bolero,,Clothing,Leibnizstraße ,,44,10629,Berlin,,,,,,
Second hand Mode,,Clothing,Detmolder Str. ,,59,10715,Berlin,,,,,,
Second hand paradies shop,,Clothing,Adalbertstraße ,,17,10997,Berlin,,,,,,
Second hand Primo,,Clothing,Uhlandstraße ,,43,10719,Berlin,,,,,,
Secondhand Moons,,Clothing,Graefestraße ,,70,10967,Berlin,,,,,,
Secondo Berlin,,Clothing,Mommsenstraße ,,61,10629,Berlin,,,,,,
Sing Blackbird,,Clothing,Sanderstraße ,,11,12047,Berlin,,,,,,
Sir Henri vintage second hand,,Clothing,Grünberger Str. ,,37,10245,Berlin,,,,,,
Soeur,,Clothing,Marienburger Str. ,,24,10405,Berlin,,,,,,
Sometimes colored,,Clothing,Grünberger Str. ,,90,10245,Berlin,,,,,,
Sommerladen,,Clothing,Linienstraße ,,153,10115,Berlin,,,,,,
Trash-Schick,,Clothing,Wühlischstraße ,,31,10245,Berlin,,,,,,
Trödel,,Clothing,Mariendorfer Damm ,,187,12107,Berlin,,,,,,
Trollby children's second hand,,Clothing,Eisenacher Str. ,,78,10823,Berlin,,,,,,
Veist Kleidergeschichte,,Clothing,Selchower Str. ,,32,12049,Berlin,,030 95606251,,,,
Versa second hand,,Clothing,Selchower Str. ,,33,12049,Berlin,,,,,,
Victor und Luise,,Clothing,Welserstraße ,,10-12,10777,Berlin,,,,,,
Vintage Berlin,,Clothing,Karl-Kunger-Straße ,,54,12435,Berlin,,,,,,
We buy fashion!,,Clothing,Boxhagener Str. ,,47,10245,Berlin,,,,,,
Women & children first,,Clothing,Kollwitzstraße ,,92,10435,Berlin,,,,,,
Yukalou,,Clothing,Karl-Kunger-Straße ,,14,12435,Berlin,,,,,,
Zanoni,,Clothing,Belziger Str. ,,21,10823,Berlin,,,,,,
Alte Zeiten,2nd hand,Electro,Pücklerstraße ,,32,10997,Berlin,,,,,,
An- und Verkauf Technik,,Electro,Danziger Str. ,,70,10435,Berlin,,,,,,
Kramkiste - alte Telefone,,Electro,Hiddenseer Str. ,,12,10437,Berlin,,,,,,
Eprimo,,Energy,,,,,Berlin,,,,,,
Ews,,Energy,,,,,Berlin,,,,,,
Greenpeace Energy,,Energy,,,,,Berlin,,,,,,
Grünwelt,,Energy,,,,,Berlin,,,,,,
Lekker,,Energy,,,,,Berlin,,,,,,
Lichtblick,,Energy,,,,,Berlin,,,,,,
